ean,article
7311041063354,101154616_ST
5701073064696,100954629_ST
7310040076303,101184342_ST
7340083478314,101302296_ST
7310090155539,100015029_ST
7330583004397,100772530_ST
5701211013081,101255185_ST
7340083439681,101229932_ST
7310500057590,100793474_ST
7611612121262,101500913_ST
7350115941051,101825579_ST
7340083450587,101250204_ST
7611612121620,101824037_ST
7331494129087,101463073_ST
4009900547970,101545695_ST
7311310026806,100058214_ST
7314536331402,101545669_ST
5063270111925,101584151_ST
7311043022922,101799924_ST
7311043028702,101848889_ST
7311041009536,100462447_ST
2090199400000,100265785_KG
7312730072602,101731493_ST
7340083442971,101232127_ST
8699073291174,101271897_ST
7340083455360,101262310_ST
7350002403440,100932537_ST
7350027795315,101289887_ST
7300206089001,101776552_ST
2355022800007,101203649_KG
7340045504228,101106143_ST
2355021900005,101203648_KG
7311043011957,101599080_ST
7340083482168,101316312_ST
3529380019053,101544489_ST
5202390017599,101257437_ST
5202390020407,101278407_ST
7340083431227,101214415_ST
7340083431234,101214445_ST
5202390007934,101257432_ST
5202390015489,101257434_ST
7611612404297,101552300_ST
7311043017911,101705544_ST
7310943092523,101211369_ST
7310943092561,101211373_ST
7340083478338,101302328_ST
7340083484568,101328911_ST
2090970200003,101286423_KG
7340083468933,101284152_ST
7311043001705,101473883_ST
3088545004001,101203219_ST
7311841591101,101299929_ST
7311841591200,101301802_ST
7310760012568,101276198_ST
7613036961608,101546223_ST
7340131605891,101781648_ST
7350092180290,101805786_ST
4001686505526,101836120_ST
5701073041413,101277610_ST
8711327663640,101696462_ST
3272770015981,101357787_ST
90376825,101203089_ST
5063270127728,101837787_ST
7310731103028,101677317_ST
7340131605235,101599209_ST
41143050538,101826552_ST
4030300022200,101261716_ST
5038862134293,101307185_ST
7311041081730,101261767_ST
7310070008718,101833675_ST
5411188110743,101189719_ST
7350000552874,101545479_ST
7393010035715,100614220_ST
7310240406085,101320763_ST
7310240407969,101304732_ST
7311043016624,101693179_ST
7392128810016,101447696_ST
7340083443091,101231808_ST
7310861011538,101367028_ST
7310861012504,101314780_ST
7350000550573,101291960_ST
7311043025435,101821169_ST
7311043026654,101829361_ST
7312690201333,101548102_ST
7312060502503,101801760_ST
7310090272229,101274552_ST
8717496044242,101259152_ST
4014071624238,100764503_ST
4016241051011,101719940_ST
4016241050540,101405060_ST
7340083497780,101397779_ST
7310865698391,101283159_ST
7310865093981,101231489_ST
7310240407921,101260585_ST
7350028540532,100238967_ST
7310520003027,101223473_ST
7350000552324,101424226_ST
7392672003773,101284367_ST
7311043025466,101821150_ST
5900643035023,101246140_ST
7311443210400,101197654_ST
6408430025237,101676657_ST
7311070006421,101847588_ST
7340083407512,101205398_ST
7310470064284,101070555_ST
5708413039161,101826032_ST
7310860007853,100985962_ST
7340083407550,101202252_ST
7340083427831,101207629_ST
7350126083344,101412935_ST
7310470063195,100038781_ST
7310470070193,100038736_ST
7311043008858,101550756_ST
7311041049587,100910819_ST
7311043019182,101719565_ST
3222110025286,101334091_ST
7316110003415,101840414_ST
5707196286991,101802373_ST
8721201984624,101802347_ST
8711327416239,101337941_ST
7310960041870,101335553_ST
7322550032168,101186368_ST
7310350504558,101676219_ST
7310350118809,101232545_ST
7314320003423,101086012_ST
7340083478369,101302331_ST
7331217601012,100611580_ST
7311043011704,101591594_ST
7314710160002,100209105_ST
2384795600002,101358844_KG
2384790400003,101134648_KG
7610563997315,101832253_ST
7610563997278,101832254_ST
8008698048719,101804723_ST
7340083473067,101289420_ST
7316110001886,101802393_ST
7310240050844,100897825_ST
7310240150834,101227997_ST
54037007,101212697_ST
7350031135497,101261446_ST
5000159602778,101780730_ST
7340083473746,101294862_ST
7312631023772,101337239_ST
7310521053106,100052452_ST
8437001799084,101181869_ST
7340083475658,101294579_ST
7311043022373,101773701_ST
7311043022380,101773702_ST
7394101780057,101199994_ST
7340083474323,101290607_ST
7300206706007,100322090_ST
7340083467677,101281487_ST
8711000573501,101676851_ST
7310050003535,101288951_ST
7311041011133,100400004_ST
6437005070617,101382763_ST
5701977550974,101496402_ST
8002469552863,101345723_ST
55653698708,101642522_ST
55653670247,101676867_ST
7310040052260,101177963_ST
4306188365105,101273777_ST
3250552519377,100379305_ST
7331494126536,101546358_ST
7331494126710,101590685_ST
3228020232028,100268014_ST
2351374200007,101774945_KG
5711953070266,101362238_ST
7331494128066,101306822_ST
3176582009964,101342610_ST
3228024210206,101397903_ST
3529380020196,101677119_ST
7340083491863,101350578_ST
7340083491870,101350579_ST
3423960007730,101850167_ST
7611612170031,101250211_ST
7340083478932,101285853_ST
7340083481017,101309111_ST
7311043012275,101603066_ST
7340083484902,101329185_ST
7311043014118,101646312_ST
7310500187006,101467643_ST
7340083462443,101273514_ST
7340083470592,101285782_ST
7340083478352,101302330_ST
8711327666481,101696443_ST
7310070007315,101666932_ST
7310070006615,101543692_ST
7311043020164,101772288_ST
7350104404130,101548120_ST
7312690306076,101639511_ST
7310340114033,100603367_ST
8718114751962,100414311_ST
7310090750697,100261887_ST
7310130013454,101607735_ST
7311041064337,101146449_ST
7332134201231,100657772_ST
7312082001039,100048556_ST
7312080004025,100048672_ST
7322550092032,101205411_ST
7311041062425,101134906_ST
8711000530085,101261204_ST
7311043015238,101669545_ST
7311043015207,101669542_ST
7311043015214,101669543_ST
8711000602102,101759231_ST
7311043015221,101669544_ST
7310130013775,101847566_ST
7312060700862,101840590_ST
7310532305485,101760346_ST
7340083484551,101328932_ST
2359749500004,101255580_KG
7310340464442,100511956_ST
7310700811664,100695589_ST
3850104004964,100163029_ST
7311043012541,101613195_ST
87337495,101674990_ST
42155409,101853163_ST
4009900582018,101853166_ST
4009900581776,101853586_ST
4009900536721,101447854_ST
4009900550369,101600151_ST
7622300788834,101196785_ST
7340083485107,101329460_ST
7393624095136,101777247_ST
8594403711189,101832375_ST
8000500253687,101296605_ST
7313940025969,100037808_ST
7313940574504,100619298_ST
2350207700004,101466894_KG
87703071438,101584118_ST
7311043025879,101822876_ST
7311043014101,101656403_ST
7311043014743,101656405_ST
7311043027521,101841141_ST
7331217015390,101527286_ST
7311043025886,101822877_ST
7331217010340,101192589_ST
7331217010050,100612008_ST
7331217010067,100612035_ST
7350113940308,101334498_ST
4051009041736,101716110_ST
8585002445674,101780922_ST
8585002445599,101780921_ST
8585002441461,101759921_ST
7310401058429,101832384_ST
8445291154063,101677362_ST
7350039279155,101223036_ST
7350039279162,101223042_ST
