ean,article,name,brand,basis,price,kcal,kj,fat,satfat,carb,sugar,fibre,protein,salt,source
7310240120189,101287807_ST,Vegoschnitzel Fryst,Anamma,100 gram,"46,32 kr",205.0,856.0,11.0,0.8,12.0,0.8,4.5,12.0,1.0,hemkop
7340083488054,101315089_ST,Vegoschnitzel Fryst,Eldorado,100 gram,"59,55 kr",203.0,861.0,4.8,0.5,21.0,1.2,3.9,17.0,1.2,hemkop
7330797077866,101603426_ST,Vegoskivor Alspånsrökta,Pärsons,100 gram,"23,61 kr",198.0,820.0,17.1,1.3,2.1,1.0,,9.0,2.8,hemkop
7330797077620,101256978_ST,Vegoskivor Original Ovo-vegetarisk,Pärsons,100 gram,"23,61 kr",171.0,710.0,15.0,1.0,0.9,0.8,,8.0,2.6,hemkop
7330797077613,101256962_ST,Vegoskivor Ovo-vegetarisk,Pärsons,100 gram,"23,61 kr",171.0,710.0,15.0,1.0,4.5,0.9,,7.7,2.4,hemkop
7330797077606,101256988_ST,Vegoskivor Tomat&basilika Ovo-vegetarisk,Pärsons,100 gram,"23,61 kr",163.0,676.0,15.2,0.9,3.7,0.7,,8.3,2.4,hemkop
8026650000391,101690156_ST,Verdure Miste Grigliate In Olio,I Fuori Di Bus,100 gram,"35,91 kr",64.0,263.0,5.0,0.6,2.3,2.3,2.2,1.2,1.5,hemkop
80042549,101412953_ST,Verdurine,Mutti,100 gram,"21,29 kr",133.0,557.0,5.5,0.6,16.0,15.0,,3.1,1.2,hemkop
7311043028047,101858597_ST,Vermicelli,Garant,100 gram,"22,20 kr",360.0,1507.0,1.5,0.3,74.0,3.5,3.0,11.0,0.03,hemkop
8011780009703,100801296_ST,Vermicelli Krossade Pasta,Riscossa,100 gram,"19,82 kr",351.0,1488.0,1.4,0.3,70.0,3.6,,13.0,0.0033,hemkop
8936007820360,101261105_ST,Vermicelli Risnudlar,Bamboo Tree,100 gram,"30,23 kr",332.0,1389.0,0.0,0.0,80.0,0.0,2.0,2.0,0.64,hemkop
7613036959001,101546218_ST,Verona Kaffekapslar,Starbucks,,"49,16 kr",,,,,,,,,,
7311043006526,101540910_ST,Vesuvio Pan Pizza Fryst,Garant,100 gram,"12,25 kr",217.0,912.0,7.7,3.4,26.0,3.8,1.3,9.8,1.1,hemkop
7311043006533,101542442_ST,Vesuvio Pan Pizza Frysta/9-pack,Garant,100 gram,"93,69 kr",217.0,912.0,7.7,3.4,26.0,3.8,1.3,9.8,1.1,hemkop
7350076361639,101405133_ST,Vesuvio Pizza Fryst,Tony's Pizza,100 gram,"50,11 kr",231.0,970.0,9.0,4.7,27.0,1.1,2.0,9.5,2.0,hemkop
7310960055181,101872455_ST,Vesuvio Pizza Super Size Fryst,Billys,100 gram,"59,57 kr",220.0,922.0,7.2,3.6,27.0,0.8,1.3,11.0,1.4,hemkop
7310240077636,101222987_ST,Vesuvio X-tra Allt Pizza Fryst,Grandiosa,100 gram,"23,61 kr",248.0,1037.0,10.0,5.0,26.0,1.6,,12.0,1.1,hemkop
