ean,article,name,brand,weight,price,basis,kcal,kj,fat,satfat,carb,sugar,fibre,protein,salt,source
7311043016662,101693137_ST,Grönkålspesto,Garant,200 g,"28,29 kr",100 gram,433.0,1803.0,44.0,5.4,7.4,1.8,0.8,2.5,1.8,willys
7310394002249,100465881_ST,Grönpeppar Burk,Kockens,10 g,"23,56 kr",,,,,,,,,,,
7322550092056,101205422_ST,Grönpepparsås Pulver,Blå Band,"3 p/7,5 dl","13,72 kr",75 milliliter,55.0,231.0,2.1,1.2,6.1,3.7,0.1,2.8,0.68,willys
8714100783498,101269291_ST,Grönsakbuljong Tärningar,Knorr,10 p/5 l,"16,94 kr",100 milliliter,7.0,31.0,0.6,0.4,0.5,0.5,0.5,0.5,0.96,willys
8697406270025,101506840_ST,Grönsaker Blandade,Yonca,"2,7 kg","66,15 kr",100 gram,10.0,42.0,0.1,0.0,2.3,1.9,,0.3,3.3,willys
8697406270674,101424751_ST,Grönsaker Blandade,Yonca,680/380 g,"18,83 kr",100 gram,10.0,42.0,0.1,0.0,15.0,2.3,,0.3,2.5,willys
6430104924102,101517707_ST,Grönsaker Sommar Fryst,Apetit,600 g,"22,90 kr",100 gram,45.0,180.0,0.0,0.0,6.0,3.9,2.7,2.5,0.02,willys
7311041052327,100450502_ST,Grönsaker Sommar Frysta,Eldorado,1 kg,"18,83 kr",100 gram,40.0,169.0,0.0,0.0,5.6,3.3,3.7,2.3,0.1,willys
6430104921484,101519201_ST,Grönsaker Ärtor Majs Paprika Fryst,Apetit,600 g,"22,90 kr",100 gram,90.0,380.0,0.9,0.2,14.0,4.7,3.2,4.2,0.0,willys
7340083443268,101231767_ST,Grönsaks Buljong Tärningar,Garant Eko,6 p/3 l,"11,26 kr",100 milliliter,5.0,20.0,0.4,0.2,0.4,0.2,,0.1,1.0,willys
7311043019564,101726391_ST,Grönsaksfond,Garant,180 ml/4 l,"28,29 kr",100 milliliter,109.0,454.0,0.4,0.1,24.0,10.0,,1.6,16.5,willys
7322550052708,100404956_ST,Grönsaksfond,Touch Of Taste,180 ml/4 l,"30,19 kr",100 milliliter,1.0,4.0,0.5,0.1,0.5,0.1,,0.5,0.58,willys
7322550052852,101242635_ST,Grönsaksfond Ekologiskt,Touch Of Taste,180 ml/4 l,"33,97 kr",100 milliliter,2.0,8.0,0.5,0.1,0.5,0.5,,0.5,0.7,willys
8711254090281,100897139_ST,Grönsakssoppa,Weightwatchers,400 ml,"18,50 kr",100 milliliter,31.0,128.0,0.5,0.5,4.8,2.3,1.4,1.0,1.0,willys
7310500025094,100429118_ST,Grönsakssoppa 2-3 Port,Findus,"490/7,5 d","18,83 kr",100 gram,23.0,97.0,0.5,0.0,4.3,3.9,1.5,0.7,1.3,willys
